Category,Name,Price,Description,URL
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Optim 1 Pre-Saturated Wipes, 6"" x 7"", 160 Wipes/Can, Case of 12. 1 minute broad spectrum contact",$138.99,Case of 12 - 160 wipe canisters,https://www.net32.com/ec/optim-1-presaturated-wipes-6-x-7-d-167101?tsid=20858
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Optim 1 pre-saturated wipes, 6"" x 7"", 160 wipes/can. 1 minute broad spectrum contact time",$13.35,Can of 160 wipes,https://www.net32.com/ec/optim-1-presaturated-wipes-6-x-7-d-151131?tsid=20858
https://www.net32.com/ec/infection-control-clinical-products-t-523,"CaviWipes *Case of 12* Towelettes (Large: 6"" x 6.75"") 160/Can, Case of 12. Disposable towelettes",$104.77,Case of 12 - 160 wipe canisters,https://www.net32.com/ec/caviwipes-case-12-towelettes-large-6-x-d-149881?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand 4"" x 6"" Barrier Film, Blue, Roll of 1200 Sheets",$8.40,Roll of 1200 sheets,https://www.net32.com/ec/house-brand-4-x-6-barrier-film-d-106820?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Sani-Cloth Plus Large Wipes (6"" x 6.75""), Case of 12 x 160 Wipes/Can. Germicidal wipe effective",$61.99,Case of 12 - 160 wipe canisters,https://www.net32.com/ec/sanicloth-plus-large-wipes-6-x-675-d-167403?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand 2.75"" x 9"" Self-Sealing Sterilization Pouch, Paper/Blue-Green Film, Box of 200",$6.03,Box of 200,https://www.net32.com/ec/house-brand-275-x-9-selfsealing-sterilization-d-115455?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"CaviWipes Towelettes (Large: 6"" x 6.75"") 160/Can. Disposable towelettes pre-saturated",$11.58,Self-dispensing container with 160 wipes,https://www.net32.com/ec/caviwipes-towelettes-large-6-x-675-160-d-54813?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"maxill steri-sox Self Sealing Sterilization Pouches, 3.5""x9"", 200/Box. Multi-parameter internal",$6.09,Box of 200,https://www.net32.com/ec/maxill-sterisox-self-sealing-sterilization-pouches-35x9-d-169591?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand 3.50"" x 5.25"" Self-Sealing Sterilization Pouch, Paper/Blue Film with Steam, Chemical",$4.35,Box of 200,https://www.net32.com/ec/house-brand-350-x-525-selfsealing-sterilization-d-106729?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"CaviCide Surface Disinfectant / Decontaminant Cleaner - 1 Gallon. Ready-to-use, intermediate-level",$32.41,1 Gallon,https://www.net32.com/ec/cavicide-surface-disinfectant-decontaminant-cleaner-1-gallon-d-29030?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Super Sani-Cloth Large Wipes (6"" x 6.75""), Case of 12 x 160 Wipes/Can. High Alcohol (55%). EPA",$57.99,Case of 12 - 160 wipe canisters,https://www.net32.com/ec/super-sanicloth-large-wipes-6-x-675-d-167397?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"CaviCide Surface Disinfectant / Decontaminant Cleaner, 24 oz. Spray Bottle. Ready-to-use",$12.41,24 oz. spray bottle,https://www.net32.com/ec/cavicide-surface-disinfectant-decontaminant-cleaner-24-oz-d-29033?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand Half Chair Sleeve, 27.5"" X 24"", 225/Box. 2-sided with slippery top surface",$22.69,Box of 225 sleeves,https://www.net32.com/ec/house-brand-half-chair-sleeve-275-x-d-105633?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand Ultrasonic Cleaning Tablets, Box of 64 Tablets",$19.50,Box of 64 tablets,https://www.net32.com/ec/house-brand-ultrasonic-cleaning-tablets-box-64-d-105408?queryID=95cfd5958ae9c9a6dab61163e0702321
